Level,Date and Time,Source,Event ID,Task Category
Information,04/01/2025 11:39:31,Microsoft-Windows-Sysmon,10,Process accessed (rule: ProcessAccess),"Process accessed:
RuleName: technique_id=T1055.001,technique_name=Dynamic-link Library Injection
UtcTime: 2025-01-04 11:39:31.704
SourceProcessGUID: {cc4d60af-138c-6779-1147-000000000900}
SourceProcessId: 9076
SourceThreadId: 9696
SourceImage: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
TargetProcessGUID: {cc4d60af-1df3-6779-f747-000000000900}
TargetProcessId: 3640
TargetImage: C:\Windows\system32\wevtutil.exe
GrantedAccess: 0x1FFFFF
CallTrace: C:\Windows\SYSTEM32\ntdll.dll+9ee04|C:\Windows\System32\KERNELBASE.dll+53715|C:\Windows\System32\KERNELBASE.dll+50756|C:\Windows\System32\KERNEL32.DLL+1cef4|C:\Windows\assembly\NativeImages_v4.0.30319_64\System\acc30bc70b54b35ac1a841482f4edefb\System.ni.dll+3512f6|C:\Windows\assembly\NativeImages_v4.0.30319_64\System\acc30bc70b54b35ac1a841482f4edefb\System.ni.dll+2b3c49|C:\Windows\assembly\NativeImages_v4.0.30319_64\System\acc30bc70b54b35ac1a841482f4edefb\System.ni.dll+2b35b9|C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\6307158ab9c2a3fca14b25a29c535c3e\System.Management.Automation.ni.dll+12a91e9|C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\6307158ab9c2a3fca14b25a29c535c3e\System.Management.Automation.ni.dll+11bf73a|C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\6307158ab9c2a3fca14b25a29c535c3e\System.Management.Automation.ni.dll+126addd|C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\6307158ab9c2a3fca14b25a29c535c3e\System.Management.Automation.ni.dll+126aa9b|C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\6307158ab9c2a3fca14b25a29c535c3e\System.Management.Automation.ni.dll+13409cf|UNKNOWN(00007FFB79025251)
SourceUser: DESKTOP-Q6SIUBL\xxx
TargetUser: DESKTOP-Q6SIUBL\xxx"
Information,04/01/2025 11:39:31,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: Event Log Access
UtcTime: 2025-01-04 11:39:31.701
ProcessGuid: {cc4d60af-1df3-6779-f747-000000000900}
ProcessId: 3640
Image: C:\Windows\System32\wevtutil.exe
FileVersion: 10.0.19041.3636 (WinBuild.160101.0800)
Description: Eventing Command Line Utility
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: wevtutil.exe
CommandLine: ""C:\Windows\system32\wevtutil.exe"" epl Microsoft-Windows-WMI-Activity/Operational C:\Logs\trabajo-800475.evtx ""/q:*[System[TimeCreated[@SystemTime>='2025-01-04T11:16:29' and @SystemTime<='2025-01-04T11:30:10']]]""
CurrentDirectory: C:\Windows\system32\
User: DESKTOP-Q6SIUBL\xxx
LogonGuid: {cc4d60af-e97e-6759-6232-900000000000}
LogonId: 0x903262
TerminalSessionId: 2
IntegrityLevel: High
Hashes: SHA1=1750D55D18B03DB3D46F408C21C475558235383E,MD5=1F970DDF2061B33C148E72604D2170FB,SHA256=5293A95BE8F320A3AF6D8C1D5E937F13D0EE2925B9B13538487DEC0181EF5432,IMPHASH=D3310B6271278C48FE7AE9F4AD5259B6
ParentProcessGuid: {cc4d60af-138c-6779-1147-000000000900}
ParentProcessId: 9076
ParentImage: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
ParentCommandLine: ""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" 
ParentUser: DESKTOP-Q6SIUBL\xxx"
Information,04/01/2025 11:39:31,Microsoft-Windows-Sysmon,10,Process accessed (rule: ProcessAccess),"Process accessed:
RuleName: technique_id=T1055.001,technique_name=Dynamic-link Library Injection
UtcTime: 2025-01-04 11:39:31.642
SourceProcessGUID: {cc4d60af-138c-6779-1147-000000000900}
SourceProcessId: 9076
SourceThreadId: 9696
SourceImage: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
TargetProcessGUID: {cc4d60af-1df3-6779-f647-000000000900}
TargetProcessId: 5852
TargetImage: C:\Windows\system32\wevtutil.exe
GrantedAccess: 0x1FFFFF
CallTrace: C:\Windows\SYSTEM32\ntdll.dll+9ee04|C:\Windows\System32\KERNELBASE.dll+53715|C:\Windows\System32\KERNELBASE.dll+50756|C:\Windows\System32\KERNEL32.DLL+1cef4|C:\Windows\assembly\NativeImages_v4.0.30319_64\System\acc30bc70b54b35ac1a841482f4edefb\System.ni.dll+3512f6|C:\Windows\assembly\NativeImages_v4.0.30319_64\System\acc30bc70b54b35ac1a841482f4edefb\System.ni.dll+2b3c49|C:\Windows\assembly\NativeImages_v4.0.30319_64\System\acc30bc70b54b35ac1a841482f4edefb\System.ni.dll+2b35b9|C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\6307158ab9c2a3fca14b25a29c535c3e\System.Management.Automation.ni.dll+12a91e9|C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\6307158ab9c2a3fca14b25a29c535c3e\System.Management.Automation.ni.dll+11bf73a|C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\6307158ab9c2a3fca14b25a29c535c3e\System.Management.Automation.ni.dll+126addd|C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\6307158ab9c2a3fca14b25a29c535c3e\System.Management.Automation.ni.dll+126aa9b|C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\6307158ab9c2a3fca14b25a29c535c3e\System.Management.Automation.ni.dll+13409cf|UNKNOWN(00007FFB79025251)
SourceUser: DESKTOP-Q6SIUBL\xxx
TargetUser: DESKTOP-Q6SIUBL\xxx"
Information,04/01/2025 11:39:31,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: Event Log Access
UtcTime: 2025-01-04 11:39:31.644
ProcessGuid: {cc4d60af-1df3-6779-f647-000000000900}
ProcessId: 5852
Image: C:\Windows\System32\wevtutil.exe
FileVersion: 10.0.19041.3636 (WinBuild.160101.0800)
Description: Eventing Command Line Utility
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: wevtutil.exe
CommandLine: ""C:\Windows\system32\wevtutil.exe"" epl Microsoft-Windows-PowerShell/Operational C:\Logs\trabajo-800475.evtx ""/q:*[System[TimeCreated[@SystemTime>='2025-01-04T11:16:29' and @SystemTime<='2025-01-04T11:30:10']]]""
CurrentDirectory: C:\Windows\system32\
User: DESKTOP-Q6SIUBL\xxx
LogonGuid: {cc4d60af-e97e-6759-6232-900000000000}
LogonId: 0x903262
TerminalSessionId: 2
IntegrityLevel: High
Hashes: SHA1=1750D55D18B03DB3D46F408C21C475558235383E,MD5=1F970DDF2061B33C148E72604D2170FB,SHA256=5293A95BE8F320A3AF6D8C1D5E937F13D0EE2925B9B13538487DEC0181EF5432,IMPHASH=D3310B6271278C48FE7AE9F4AD5259B6
ParentProcessGuid: {cc4d60af-138c-6779-1147-000000000900}
ParentProcessId: 9076
ParentImage: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
ParentCommandLine: ""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" 
ParentUser: DESKTOP-Q6SIUBL\xxx"
Information,04/01/2025 11:39:31,Microsoft-Windows-Sysmon,10,Process accessed (rule: ProcessAccess),"Process accessed:
RuleName: technique_id=T1055.001,technique_name=Dynamic-link Library Injection
UtcTime: 2025-01-04 11:39:31.595
SourceProcessGUID: {cc4d60af-138c-6779-1147-000000000900}
SourceProcessId: 9076
SourceThreadId: 9696
SourceImage: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
TargetProcessGUID: {cc4d60af-1df3-6779-f547-000000000900}
TargetProcessId: 1568
TargetImage: C:\Windows\system32\wevtutil.exe
GrantedAccess: 0x1FFFFF
CallTrace: C:\Windows\SYSTEM32\ntdll.dll+9ee04|C:\Windows\System32\KERNELBASE.dll+53715|C:\Windows\System32\KERNELBASE.dll+50756|C:\Windows\System32\KERNEL32.DLL+1cef4|C:\Windows\assembly\NativeImages_v4.0.30319_64\System\acc30bc70b54b35ac1a841482f4edefb\System.ni.dll+3512f6|C:\Windows\assembly\NativeImages_v4.0.30319_64\System\acc30bc70b54b35ac1a841482f4edefb\System.ni.dll+2b3c49|C:\Windows\assembly\NativeImages_v4.0.30319_64\System\acc30bc70b54b35ac1a841482f4edefb\System.ni.dll+2b35b9|C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\6307158ab9c2a3fca14b25a29c535c3e\System.Management.Automation.ni.dll+12a91e9|C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\6307158ab9c2a3fca14b25a29c535c3e\System.Management.Automation.ni.dll+11bf73a|C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\6307158ab9c2a3fca14b25a29c535c3e\System.Management.Automation.ni.dll+126addd|C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\6307158ab9c2a3fca14b25a29c535c3e\System.Management.Automation.ni.dll+126aa9b|C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\6307158ab9c2a3fca14b25a29c535c3e\System.Management.Automation.ni.dll+13409cf|UNKNOWN(00007FFB79025251)
SourceUser: DESKTOP-Q6SIUBL\xxx
TargetUser: DESKTOP-Q6SIUBL\xxx"
Information,04/01/2025 11:39:31,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: Event Log Access
UtcTime: 2025-01-04 11:39:31.605
ProcessGuid: {cc4d60af-1df3-6779-f547-000000000900}
ProcessId: 1568
Image: C:\Windows\System32\wevtutil.exe
FileVersion: 10.0.19041.3636 (WinBuild.160101.0800)
Description: Eventing Command Line Utility
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: wevtutil.exe
CommandLine: ""C:\Windows\system32\wevtutil.exe"" epl Application C:\Logs\trabajo-800475.evtx ""/q:*[System[TimeCreated[@SystemTime>='2025-01-04T11:16:29' and @SystemTime<='2025-01-04T11:30:10']]]""
CurrentDirectory: C:\Windows\system32\
User: DESKTOP-Q6SIUBL\xxx
LogonGuid: {cc4d60af-e97e-6759-6232-900000000000}
LogonId: 0x903262
TerminalSessionId: 2
IntegrityLevel: High
Hashes: SHA1=1750D55D18B03DB3D46F408C21C475558235383E,MD5=1F970DDF2061B33C148E72604D2170FB,SHA256=5293A95BE8F320A3AF6D8C1D5E937F13D0EE2925B9B13538487DEC0181EF5432,IMPHASH=D3310B6271278C48FE7AE9F4AD5259B6
ParentProcessGuid: {cc4d60af-138c-6779-1147-000000000900}
ParentProcessId: 9076
ParentImage: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
ParentCommandLine: ""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" 
ParentUser: DESKTOP-Q6SIUBL\xxx"
Information,04/01/2025 11:39:31,Microsoft-Windows-Sysmon,10,Process accessed (rule: ProcessAccess),"Process accessed:
RuleName: technique_id=T1055.001,technique_name=Dynamic-link Library Injection
UtcTime: 2025-01-04 11:39:31.564
SourceProcessGUID: {cc4d60af-138c-6779-1147-000000000900}
SourceProcessId: 9076
SourceThreadId: 9696
SourceImage: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
TargetProcessGUID: {cc4d60af-1df3-6779-f447-000000000900}
TargetProcessId: 2732
TargetImage: C:\Windows\system32\wevtutil.exe
GrantedAccess: 0x1FFFFF
CallTrace: C:\Windows\SYSTEM32\ntdll.dll+9ee04|C:\Windows\System32\KERNELBASE.dll+53715|C:\Windows\System32\KERNELBASE.dll+50756|C:\Windows\System32\KERNEL32.DLL+1cef4|C:\Windows\assembly\NativeImages_v4.0.30319_64\System\acc30bc70b54b35ac1a841482f4edefb\System.ni.dll+3512f6|C:\Windows\assembly\NativeImages_v4.0.30319_64\System\acc30bc70b54b35ac1a841482f4edefb\System.ni.dll+2b3c49|C:\Windows\assembly\NativeImages_v4.0.30319_64\System\acc30bc70b54b35ac1a841482f4edefb\System.ni.dll+2b35b9|C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\6307158ab9c2a3fca14b25a29c535c3e\System.Management.Automation.ni.dll+12a91e9|C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\6307158ab9c2a3fca14b25a29c535c3e\System.Management.Automation.ni.dll+11bf73a|C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\6307158ab9c2a3fca14b25a29c535c3e\System.Management.Automation.ni.dll+126addd|C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\6307158ab9c2a3fca14b25a29c535c3e\System.Management.Automation.ni.dll+126aa9b|C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\6307158ab9c2a3fca14b25a29c535c3e\System.Management.Automation.ni.dll+13409cf|UNKNOWN(00007FFB79025251)
SourceUser: DESKTOP-Q6SIUBL\xxx
TargetUser: DESKTOP-Q6SIUBL\xxx"
Information,04/01/2025 11:39:31,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: Event Log Access
UtcTime: 2025-01-04 11:39:31.561
ProcessGuid: {cc4d60af-1df3-6779-f447-000000000900}
ProcessId: 2732
Image: C:\Windows\System32\wevtutil.exe
FileVersion: 10.0.19041.3636 (WinBuild.160101.0800)
Description: Eventing Command Line Utility
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: wevtutil.exe
CommandLine: ""C:\Windows\system32\wevtutil.exe"" epl System C:\Logs\trabajo-800475.evtx ""/q:*[System[TimeCreated[@SystemTime>='2025-01-04T11:16:29' and @SystemTime<='2025-01-04T11:30:10']]]""
CurrentDirectory: C:\Windows\system32\
User: DESKTOP-Q6SIUBL\xxx
LogonGuid: {cc4d60af-e97e-6759-6232-900000000000}
LogonId: 0x903262
TerminalSessionId: 2
IntegrityLevel: High
Hashes: SHA1=1750D55D18B03DB3D46F408C21C475558235383E,MD5=1F970DDF2061B33C148E72604D2170FB,SHA256=5293A95BE8F320A3AF6D8C1D5E937F13D0EE2925B9B13538487DEC0181EF5432,IMPHASH=D3310B6271278C48FE7AE9F4AD5259B6
ParentProcessGuid: {cc4d60af-138c-6779-1147-000000000900}
ParentProcessId: 9076
ParentImage: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
ParentCommandLine: ""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" 
ParentUser: DESKTOP-Q6SIUBL\xxx"
Information,04/01/2025 11:39:31,Microsoft-Windows-Sysmon,10,Process accessed (rule: ProcessAccess),"Process accessed:
RuleName: technique_id=T1055.001,technique_name=Dynamic-link Library Injection
UtcTime: 2025-01-04 11:39:31.517
SourceProcessGUID: {cc4d60af-138c-6779-1147-000000000900}
SourceProcessId: 9076
SourceThreadId: 9696
SourceImage: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
TargetProcessGUID: {cc4d60af-1df3-6779-f347-000000000900}
TargetProcessId: 5396
TargetImage: C:\Windows\system32\wevtutil.exe
GrantedAccess: 0x1FFFFF
CallTrace: C:\Windows\SYSTEM32\ntdll.dll+9ee04|C:\Windows\System32\KERNELBASE.dll+53715|C:\Windows\System32\KERNELBASE.dll+50756|C:\Windows\System32\KERNEL32.DLL+1cef4|C:\Windows\assembly\NativeImages_v4.0.30319_64\System\acc30bc70b54b35ac1a841482f4edefb\System.ni.dll+3512f6|C:\Windows\assembly\NativeImages_v4.0.30319_64\System\acc30bc70b54b35ac1a841482f4edefb\System.ni.dll+2b3c49|C:\Windows\assembly\NativeImages_v4.0.30319_64\System\acc30bc70b54b35ac1a841482f4edefb\System.ni.dll+2b35b9|C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\6307158ab9c2a3fca14b25a29c535c3e\System.Management.Automation.ni.dll+12a91e9|C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\6307158ab9c2a3fca14b25a29c535c3e\System.Management.Automation.ni.dll+11bf73a|C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\6307158ab9c2a3fca14b25a29c535c3e\System.Management.Automation.ni.dll+126addd|C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\6307158ab9c2a3fca14b25a29c535c3e\System.Management.Automation.ni.dll+126aa9b|C:\Windows\assembly\NativeImages_v4.0.30319_64\System.Manaa57fc8cc#\6307158ab9c2a3fca14b25a29c535c3e\System.Management.Automation.ni.dll+13409cf|UNKNOWN(00007FFB79025251)
SourceUser: DESKTOP-Q6SIUBL\xxx
TargetUser: DESKTOP-Q6SIUBL\xxx"
Information,04/01/2025 11:39:31,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: Event Log Access
UtcTime: 2025-01-04 11:39:31.508
ProcessGuid: {cc4d60af-1df3-6779-f347-000000000900}
ProcessId: 5396
Image: C:\Windows\System32\wevtutil.exe
FileVersion: 10.0.19041.3636 (WinBuild.160101.0800)
Description: Eventing Command Line Utility
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: wevtutil.exe
CommandLine: ""C:\Windows\system32\wevtutil.exe"" epl Security C:\Logs\trabajo-800475.evtx ""/q:*[System[TimeCreated[@SystemTime>='2025-01-04T11:16:29' and @SystemTime<='2025-01-04T11:30:10']]]""
CurrentDirectory: C:\Windows\system32\
User: DESKTOP-Q6SIUBL\xxx
LogonGuid: {cc4d60af-e97e-6759-6232-900000000000}
LogonId: 0x903262
TerminalSessionId: 2
IntegrityLevel: High
Hashes: SHA1=1750D55D18B03DB3D46F408C21C475558235383E,MD5=1F970DDF2061B33C148E72604D2170FB,SHA256=5293A95BE8F320A3AF6D8C1D5E937F13D0EE2925B9B13538487DEC0181EF5432,IMPHASH=D3310B6271278C48FE7AE9F4AD5259B6
ParentProcessGuid: {cc4d60af-138c-6779-1147-000000000900}
ParentProcessId: 9076
ParentImage: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
ParentCommandLine: ""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" 
ParentUser: DESKTOP-Q6SIUBL\xxx"
